x,SD
0.00449868,469564998.2
0.00449868,425679598.8
0.00452884,510243808.8
0.0045721,468904272.2
0.00460829,459937006.0
0.00466223,460794240.2
0.00472167,467906019.1
0.00477819,476500999.9
0.00483171,486343381.6
0.00488211,497125362.9
0.00493217,508849219.0
0.00498332,521733796.1
0.00503565,535648037.4
0.00508761,550313854.0
0.00513955,565833951.2
0.00519147,582193202.1
0.00524187,599151295.9
0.00529227,617144783.8
0.00534343,636534287.0
0.00539536,657376028.9
0.00544728,679561886.4
0.00549768,702948711.5
0.00554809,727993281.2
0.00559926,755184838.5
0.00565045,784749716.4
0.00570164,816949788.0
0.00575285,852258831.3
0.00580407,891202072.5
0.00585531,934485330.8
0.00590658,983010378.2
0.00595788,1038008914.7
0.00600921,1101119208.4
0.00606058,1174695308.7
0.00611199,1262251622.6
0.00616345,1369146486.2
0.00621498,1504870831.3
0.00626659,1683956791.4
0.00631829,1951847871.9
0.0063701,2354787657.9
0.00642202,3526036847.7
0.0064734,3562976296.4
0.00652421,2684117436.5
0.00657458,2253669551.9
0.00662449,2034760759.0
0.00667753,1876206880.4
0.00673801,1771420036.4
0.00680362,1681564019.0
0.00686072,1590613276.4
0.00691248,1605466267.9
0.00696583,1609326064.0
0.00702005,1587067848.3
0.00707386,1596586052.3
0.00712631,1644211578.2
0.00718041,1691242454.6
0.00724213,1778055615.9
0.00730505,1862548689.8
0.00735916,1442196598.5
0.00741127,1838529945.0
0.00746534,2290186690.5
0.00751888,2668577521.2
0.00757117,3559730005.2
0.00762377,3983530093.4
0.007676,2515401781.5
0.00772737,2071999881.6
0.00777864,1770109358.9
0.0078298,1571877965.5
0.00788087,1422102610.1
0.00793187,1304433388.1
0.00798282,1208033732.7
0.00803372,1126852319.0
0.00808458,1057029323.4
0.00813541,995928209.4
0.00818622,941778515.7
0.00823701,893225706.1
0.00828855,848961149.7
0.00833932,808885485.2
0.00838932,772359541.1
0.00844009,738270321.9
0.00849086,706564531.8
0.00854163,676951912.0
0.0085924,649221762.8
0.00864244,623303460.5
0.00869247,598763452.9
0.00874252,575394930.7
0.00879257,552992157.4
0.00884414,531097471.0
0.00889572,509879361.9
0.00894656,489581567.0
0.00899743,470027823.2
0.00904755,451454832.5
0.00909666,433917475.3
0.00914559,416988410.3
0.00919679,400004008.4
0.00925313,382354341.3
0.00931276,364499054.2
0.00937561,345365840.7
0.00943208,332899824.8
0.0094693,329401790.0
0.00950822,349241191.6
0.00953351,311429508.9
0.00953351,265137521.8
